,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
289,"(0.8, 0.9]",65.0,0.03883495145631068,0.8932038834951457,0.17475728155339798,0.06226246639706005,0.7792872625018493,1.0027027027027042
290,"(0.8, 0.9]",66.0,0.07792207792207792,0.7532467532467533,0.19480519480519476,0.05215103810993702,0.7188844419748041,1.1948051948051948
291,"(0.8, 0.9]",67.0,0.015384615384615384,0.6307692307692307,0.3538461538461539,0.04386019390544283,0.658384377664229,1.353846153846154
292,"(0.8, 0.9]",68.0,0.02325581395348837,0.5813953488372093,0.39534883720930236,0.03694405974276939,0.5982975524878719,1.3953488372093024
293,"(0.8, 0.9]",69.0,0.0,0.2558139534883721,0.6511627906976745,0.031061295369667823,0.5386443583455736,1.6511627906976745
294,"(0.8, 0.9]",70.0,0.03571428571428571,0.3928571428571429,0.6428571428571428,0.026933375206243008,0.48164462491111587,1.6428571428571428
295,"(0.8, 0.9]",71.0,0.03333333333333333,0.26666666666666666,0.7,0.02302564251826646,0.4234228801668013,1.7
296,"(0.8, 0.9]",72.0,0.047619047619047616,0.14285714285714285,0.7619047619047621,0.019236299075017744,0.36452176180401075,1.761904761904762
297,"(0.8, 0.9]",73.0,0.0,0.17647058823529413,0.5882352941176472,0.01552679298836101,0.3053786857509585,1.5882352941176472
298,"(0.8, 0.9]",74.0,0.0,0.09090909090909093,0.8181818181818179,0.011867519559916766,0.24624009398652547,1.818181818181818
299,"(0.8, 0.9]",75.0,0.0,0.25,0.5833333333333333,0.008244273193473903,0.18728303487487588,1.5833333333333333
300,"(0.8, 0.9]",76.0,0.0,0.0,0.75,0.004653445370142969,0.12863344727074258,1.75
301,"(0.8, 0.9]",77.0,0.0,0.1111111111111111,0.5555555555555556,0.0010969302186184524,0.07034954156015556,1.5555555555555556
302,"(0.8, 0.9]",78.0,0.0,0.25,0.5,-0.0024208777919400948,0.012483178011549675,1.5
303,"(0.8, 0.9]",79.0,0.0,0.0,0.8,-0.005895330181862141,-0.044952944382513384,1.8
304,"(0.8, 0.9]",80.0,0.0,0.5,0.0,-0.00932349867235702,-0.1019700250146581,1.0
305,"(0.9, 0.99]",20.0,0.2824427480916031,0.6183206106870232,0.0,0.2286031948191187,1.6423226861729006,0.00010384040600411047
306,"(0.9, 0.99]",21.0,0.4369369369369369,0.6711711711711712,0.0,0.3312075364860243,1.6564537604756513,0.00011184381508848894
307,"(0.9, 0.99]",22.0,0.4294670846394985,0.6520376175548592,0.0,0.4341703028891286,1.6705192793645849,0.00011859438262058994
308,"(0.9, 0.99]",23.0,0.4851694915254237,0.6864406779661016,0.0,0.5374196487403368,1.684527467704004,0.00012407799478951256
309,"(0.9, 0.99]",24.0,0.6097122302158273,0.6996402877697845,0.0,0.6408783429094055,1.698495385277242,0.00012837120289047824
310,"(0.9, 0.99]",25.0,0.7021276595744681,0.7127659574468086,0.0,0.7445023833747938,1.7124457865218532,0.00013166214017010686
311,"(0.9, 0.99]",26.0,0.8090040927694406,0.7407912687585263,0.001364256480218281,0.8483020194118901,1.7264062604339196,0.00013428385049855083
312,"(0.9, 0.99]",27.0,0.8994082840236687,0.7526627218934911,0.0,0.952391153902318,1.74040932508783,0.00013665647333707917
313,"(0.9, 0.99]",28.0,1.0636792452830188,0.7865566037735849,0.0,1.0570925134877056,1.7544874213045305,0.00013889415356804104
314,"(0.9, 0.99]",29.0,1.1387665198237886,0.7742290748898681,0.0,1.163162879978945,1.7686651396253503,0.00014102991671664997
315,"(0.9, 0.99]",30.0,1.2793650793650793,0.7820105820105818,0.0,1.272191320685817,1.7829274450799137,0.00014301217322146121
316,"(0.9, 0.99]",31.0,1.4018595041322317,0.7913223140495869,0.0010330578512396695,1.386545375488913,1.7971433019941392,0.00014342132131574267
317,"(0.9, 0.99]",32.0,1.5278058645096058,0.7977755308392316,0.0,1.4802066633889759,1.813786003945857,0.0001318050528748582
